epoch,lr,train_loss,train_obj,train_cls,train_box,train_pos,train_imgsz_avg,val_loss,val_obj,val_cls,val_box,val_pos,val_imgsz
56,0.00020610737385376362,0.943189,0.001977,0.055723,0.442744,10.96,638.2,1.260404,0.002219,0.240494,0.508845,12.14,640
57,0.00019045302534508325,0.88654,0.002002,0.047104,0.418717,10.96,631.5,1.312556,0.002241,0.240024,0.535145,12.14,640
58,0.00017527597583490834,0.870545,0.002003,0.049762,0.40939,10.96,630.9,1.107549,0.002195,0.261359,0.421997,12.14,640
59,0.00016059962723352931,0.847676,0.001952,0.041026,0.402349,10.96,636.4,1.136484,0.002247,0.248823,0.442707,12.14,640
60,0.00014644660940672636,0.785842,0.002001,0.032031,0.375905,10.96,625.5,1.209723,0.002253,0.235726,0.485872,12.14,640
61,0.00013283874528215725,0.829476,0.002001,0.046022,0.390727,10.96,631.5,1.055351,0.002197,0.249476,0.401839,12.14,640
62,0.0001197970171999846,0.776961,0.001981,0.032595,0.371192,10.96,635.2,1.105147,0.002229,0.244248,0.429335,12.14,640
63,0.00010734153455962753,0.758285,0.002049,0.039255,0.35849,10.96,621.9,1.203259,0.002241,0.242478,0.47927,12.14,640
64,9.549150281252638e-05,0.759678,0.002007,0.030813,0.363429,10.96,629.7,1.081354,0.002205,0.256382,0.411383,12.14,640
65,8.426519384872754e-05,0.737671,0.00198,0.02741,0.35414,10.96,632.8,1.050556,0.002223,0.251238,0.398548,12.14,640
66,7.367991782295395e-05,0.730575,0.001959,0.031247,0.348684,10.96,649.1,1.092893,0.002206,0.264953,0.412867,12.14,640
67,6.375199646360155e-05,0.698028,0.001905,0.027825,0.334149,10.96,647.8,0.990377,0.002233,0.269466,0.359339,12.14,640
68,5.449673790581613e-05,0.668,0.002039,0.027441,0.31926,10.96,626.1,1.094495,0.002225,0.269779,0.411246,12.14,640
69,4.5928413087459345e-05,0.651795,0.001866,0.023962,0.312983,10.96,655.7,1.049717,0.002241,0.269515,0.38898,12.14,640
70,3.806023374435665e-05,0.647531,0.002005,0.037408,0.304059,10.96,635.2,1.121371,0.002228,0.266717,0.426213,12.14,640
71,3.090433203875794e-05,0.656774,0.001987,0.028264,0.313261,10.96,638.2,1.032042,0.002231,0.262371,0.383721,12.14,640
72,2.447174185242325e-05,0.665847,0.002049,0.030625,0.316587,10.96,630.9,0.959003,0.002211,0.263765,0.346513,12.14,640
73,1.877238177317643e-05,0.660213,0.002094,0.047549,0.305285,10.96,615.2,1.101943,0.002231,0.268545,0.415584,12.14,640
74,1.3815039801161731e-05,0.636117,0.001895,0.029372,0.302425,10.96,655.1,0.950308,0.002219,0.264541,0.341774,12.14,640
75,9.607359798384792e-06,0.644236,0.001919,0.031128,0.305594,10.96,646.6,0.99352,0.002217,0.261943,0.36468,12.14,640
76,6.155829702431175e-06,0.615035,0.001847,0.025289,0.29395,10.96,661.1,0.976157,0.002225,0.263493,0.355219,12.14,640
77,3.4657715225368564e-06,0.643906,0.001971,0.052887,0.294524,10.96,642.4,0.945546,0.002223,0.263334,0.339995,12.14,640
78,1.5413331334360193e-06,0.627716,0.001946,0.020936,0.302417,10.96,646.6,1.007879,0.00223,0.264646,0.370501,12.14,640
79,3.8548187963854984e-07,0.629128,0.001981,0.025393,0.300877,10.96,636.4,1.085584,0.002229,0.262344,0.410505,12.14,640
80,0.0,0.609258,0.001989,0.026693,0.290288,10.96,640.0,0.947277,0.002218,0.263385,0.340837,12.14,640
